CustomerID,Age,Gender,AnnualIncome,SpendingScore,TimeOnWebsite,PreviousPurchases,ProductCategory,DiscountUsed,Purchased
1,56,Male,77676,16,16,18,Beauty,No,0
2,46,Female,31560,8,2,8,Beauty,No,0
3,32,Male,74401,93,29,10,Electronics,No,1
4,60,Male,70468,87,4,16,Clothing,Yes,1
5,25,Male,135884,45,53,15,Groceries,No,1
6,38,Male,52463,95,50,3,Beauty,No,1
7,56,Male,51663,40,29,9,Beauty,No,1
8,36,Female,133687,54,31,14,Clothing,No,1
9,40,Female,88706,14,17,18,Sports,Yes,1
10,28,Male,78773,59,10,2,Electronics,No,0
11,28,Male,53123,94,27,4,Clothing,Yes,1
12,41,Male,114346,53,53,10,Clothing,Yes,1
13,53,Female,29718,27,41,4,Clothing,Yes,1
14,57,Female,146777,47,15,6,Clothing,No,0
15,41,Male,82637,80,44,5,Sports,No,1
16,20,Male,20028,6,31,12,Groceries,Yes,1
17,39,Female,82370,55,21,1,Clothing,Yes,1
18,19,Male,67599,97,59,18,Clothing,No,1
19,41,Female,37397,44,58,10,Electronics,Yes,1
20,61,Female,129198,18,41,19,Beauty,Yes,1
21,47,Male,127323,16,46,4,Sports,No,0
22,55,Female,65406,12,45,8,Clothing,No,1
23,19,Male,67657,20,26,5,Groceries,Yes,1
24,38,Male,87560,45,38,16,Groceries,Yes,1
25,50,Male,143178,64,51,18,Groceries,No,1
26,29,Male,124143,59,36,7,Electronics,No,1
27,39,Male,144745,93,52,6,Groceries,No,1
28,61,Male,146896,94,17,4,Electronics,Yes,1
29,42,Female,33503,90,51,14,Sports,No,1
30,44,Female,74943,22,3,9,Groceries,Yes,1
31,59,Female,95839,97,14,15,Beauty,Yes,1
32,45,Female,102674,47,49,8,Clothing,No,1
33,33,Male,45345,29,13,6,Sports,No,0
34,32,Female,138423,86,41,10,Beauty,No,1
35,64,Female,70390,45,27,8,Sports,No,1
36,61,Female,115041,77,1,16,Groceries,Yes,1
37,20,Male,79557,9,57,8,Sports,Yes,1
38,54,Female,85054,24,17,2,Sports,Yes,0
39,24,Male,21906,15,48,7,Sports,Yes,1
40,38,Female,60167,36,50,18,Electronics,No,1
41,26,Male,27961,13,34,19,Beauty,Yes,1
42,56,Male,46140,91,14,15,Groceries,No,1
43,35,Female,144098,44,54,6,Clothing,No,1
44,21,Male,139289,71,55,6,Groceries,Yes,1
45,42,Male,78701,72,59,19,Groceries,Yes,1
46,31,Female,97567,78,17,12,Electronics,Yes,1
47,26,Female,100664,76,3,2,Electronics,Yes,1
48,43,Female,101199,36,34,11,Sports,Yes,1
49,19,Male,149856,61,40,7,Groceries,No,1
50,37,Male,119764,81,25,12,Beauty,No,1
51,45,Male,101218,40,2,19,Electronics,Yes,1
